,z location [m],Polar moment of Inertia J [mm^4],Displacement [m],Rotation [rad],Rotation [deg],Area Moment of Inertia [mm^4]
0,0.0,0.0019670272814565643,0.0,0.0,0.0,0.0007388531850271215
1,0.122020202020202,0.0019275623082250085,-0.0004916447972285373,0.0010631556645132453,0.060914332542035425,0.0007249826471898593
2,0.244040404040404,0.0018886287609397427,-0.0019640245546037162,0.002127278498518014,0.12188407981400895,0.0007112859634855577
3,0.366060606060606,0.0018502230372641395,-0.0044132356370470615,0.003192705631573291,0.18292855791679954,0.0006977620436206713
4,0.488080808080808,0.001812341534861572,-0.007835278955891456,0.004259825361148307,0.24407001465658965,0.0006844097973016579
5,0.61010101010101,0.0017749806513954124,-0.012226060072010134,0.005328959123660517,0.3053268669834814,0.0006712281342349726
6,0.732121212121212,0.0017381367845290341,-0.01758138934881445,0.006400354650901005,0.36671330888355497,0.0006582159641270716
7,0.854141414141414,0.0017018063319258082,-0.02389698237548211,0.007474206879937651,0.4282405094280706,0.0006453721966844111
8,0.976161616161616,0.0016659856912491083,-0.031168460514117417,0.008550685782378142,0.48991820727278584,0.000632695741613447
9,1.098181818181818,0.0016306712601623044,-0.03939135144144154,0.009629955664299384,0.5517558164624558,0.0006201855086206349
10,1.22020202020202,0.0015958594363287718,-0.04856108957241584,0.010712184071417517,0.6137629366594906,0.0006078404074124317
11,1.342222222222222,0.001561546617411883,-0.05867301632800588,0.011797539746712602,0.6759492361244703,0.0005956593476952931
12,1.464242424242424,0.0015277292010750082,-0.0697223802575636,0.012886185457667737,0.7383240407472185,0.000583641239175675
13,1.586262626262626,0.0014944035849815216,-0.08170433705052986,0.013978267766402675,0.8008957479186334,0.0005717849915600335
14,1.708282828282828,0.001461566166794796,-0.0946139495687917,0.01507390889549216,0.8636713604764091,0.0005600895145548251
15,1.83030303030303,0.0014292133441782026,-0.10844618777804808,0.016173198719457518,0.9266560278513033,0.000548553717866505
16,1.952323232323232,0.0013973415147951144,-0.12319592905464767,0.0172761951361132,0.9898530673437272,0.0005371765112015299
17,2.074343434343434,0.0013659470763089042,-0.1388579578861569,0.01838292508214971,1.0532640223123604,0.0005259568042663558
18,2.196363636363636,0.001335026426382944,-0.1554269677414294,0.019493387784145694,1.116888848443424,0.0005148935067674384
19,2.318383838383838,0.0013045759626806074,-0.17289755643716115,0.020607570852304333,1.180726835853851,0.0005039855284112342
20,2.44040404040404,0.001274592082865265,-0.19126424319333823,0.021725425660002805,1.2447751984433817,0.0004932317789041989
21,2.562424242424242,0.0012450711846002912,-0.2105214163173977,0.022846995146965664,1.3090363964770064,0.00048263116795278863
22,2.684444444444444,0.0012160096655490576,-0.23066349749797044,0.02397196519419249,1.3734924322617366,0.0004721826052634595
23,2.806464646464646,0.001187403923374936,-0.25168445627165015,0.02510137074019296,1.4382026034062318,0.0004618850005426676
24,2.928484848484848,0.0011592503557413003,-0.2735791649195807,0.02623123947453614,1.502939313287884,0.00045173726349686903
25,3.05050505050505,0.0011315453603115216,-0.29633936467930566,0.027385635826676764,1.5690813521508398,0.0004417383038325195
26,3.172525252525252,0.0011042853347489738,-0.31995162905591623,0.02856504739514895,1.6366566573332009,0.00043188703125607536
27,3.294545454545454,0.0010774666767170281,-0.34440614825155474,0.02974583381729298,1.7043107358284064,0.00042218235547399275
28,3.416565656565656,0.0010510857838790578,-0.369695770918396,0.03093190596570486,1.7722676641304214,0.00041262318619272745
29,3.538585858585858,0.0010251390538984354,-0.3958122612641928,0.03212220115805268,1.840466555026664,0.0004032084331187357
30,3.66060606060606,0.0009996228844385328,-0.42274756345349856,0.033316967076068404,1.9089215996350384,0.0003939370059584733
31,3.782626262626262,0.0009745336731627232,-0.45049334547500003,0.034516072702324915,1.977625291209928,0.00038480781441839663
32,3.904646464646464,0.0009498678177343782,-0.47904115417385223,0.03571945906736337,2.0465742510502207,0.0003758197682049615
33,4.026666666666666,0.0009256217158168707,-0.508382356476478,0.036927018787136695,2.1157623265032326,0.0003669717770246241
34,4.148686868686868,0.0009017917650735741,-0.5385081571467408,0.038138630797290046,2.1851825810923815,0.0003582627505838405
35,4.27070707070707,0.0008783743631678601,-0.5694095961303479,0.03935415586171165,2.2548270371761068,0.0003496915985890666
36,4.392727272727272,0.0008553659077631003,-0.6010775397278069,0.04057344286587716,2.324687036529941,0.00034125723074675854
37,4.514747474747474,0.0008327627965226687,-0.6335026858003127,0.041796334306522354,2.3947535548815835,0.00033295855676337234
38,4.636767676767676,0.0008105614271099367,-0.6666755574818356,0.04302266936487584,2.4650173779941675,0.000324794486345364
39,4.758787878787878,0.0007887581971882778,-0.7005865051524993,0.04425229025142839,2.5354694651947636,0.0003167639291991898
40,4.88080808080808,0.0007673495044210633,-0.7352257016963446,0.04548504156237674,2.606100912501323,0.00030886579503130546
41,5.002828282828282,0.0007463317464716671,-0.770583141304828,0.046720771887291394,2.676903044735263,0.00030109899354816737
42,5.124848484848484,0.0007257013210034602,-0.8066486392000044,0.04795933161881821,2.7478672900266057,0.00029346243445623117
43,5.2468686868686865,0.0007054546256798162,-0.8434118288065299,0.049200570185326795,2.818985021256416,0.0002859550274619534
44,5.368888888888888,0.0006855880581641071,-0.8808621588993166,0.05044432834973245,2.8902471148117983,0.00027857568227178983
45,5.49090909090909,0.0006660980161197051,-0.918988893833419,0.051690432808866156,2.961643641152592,0.00027132330859219636
46,5.612929292929292,0.000646980897209984,-0.9577811084843041,0.05293868799616776,3.033163395140286,0.00026419681612962944
