,z location [m],Polar moment of Inertia J [mm^4],Displacement [m],Rotation [rad],Rotation [deg],Area Moment of Inertia [mm^4]
0,0.0,0.0018774581062726988,0.0,-0.0,-0.0,0.0007078724173065466
1,0.122020202020202,0.001839790182392887,0.0004811583611204351,-0.0018058700173469364,-0.10346873034319622,0.0006945206101552525
2,0.244040404040404,0.0018026294858200635,0.001921434214030212,-0.0036145219415166466,-0.20709685220633603,0.0006813370662774056
3,0.366060606060606,0.0017659725782510753,0.0043159232742813695,-0.005426542896981918,-0.31091800534375896,0.0006683207237623798
4,0.488080808080808,0.0017298160213827718,0.007659579937524231,-0.007242605269137386,-0.41497071460078394,0.0006554705206995509
5,0.61010101010101,0.001694156376912,0.011947215819930709,-0.009063272711554665,-0.5192872749481718,0.0006427853951782933
6,0.732121212121212,0.001658990206535607,0.017173498290508314,-0.01088898894462443,-0.6238931096915923,0.0006302642852879817
7,0.854141414141414,0.0016243140719504397,0.023332949090627404,-0.012720112184867726,-0.7288087431258531,0.0006179061291179909
8,0.976161616161616,0.0015901245348533472,0.0304199429334789,-0.014556960952280268,-0.8340524251023991,0.0006057098647576959
9,1.098181818181818,0.0015564181569411749,0.03842870594860516,-0.016399845858238074,-0.939641952342145,0.0005936744302964707
10,1.22020202020202,0.0015231914999107722,0.04735331389162437,-0.018249084306810374,-1.045595510758658,0.0005817987638236912
11,1.342222222222222,0.0014904411254589864,0.05718769004708934,-0.020104997200906062,-1.151931486734251,0.0005700818034287317
12,1.464242424242424,0.001458163595282664,0.06792560285266849,-0.021967897219905518,-1.2586677954777608,0.0005585224872009667
13,1.586262626262626,0.001426355471078653,0.07956066329879002,-0.023838072328223384,-1.365820936134796,0.0005471197532297712
14,1.708282828282828,0.0013950133145438019,0.0920863220221483,-0.025715770970425468,-1.4734051435304207,0.0005358725396045202
15,1.83030303030303,0.0013641336873749562,0.10549586658984547,-0.02760119258869088,-1.5814318448597546,0.0005247797844145879
16,1.952323232323232,0.0013337131512689653,0.11978241796781519,-0.0294944839633697,-1.6899094500173726,0.0005138404257493497
17,2.074343434343434,0.0013037482679226756,0.13493892812360353,-0.031395742764045574,-1.798843555058205,0.0005030534016981802
18,2.196363636363636,0.0012742355990329349,0.15095817513000578,-0.03330502795730989,-1.9082375385190702,0.0004924176503504539
19,2.318383838383838,0.0012451717062965917,0.16783276506930872,-0.035222363228558415,-2.0180927574731813,0.00048193210979554594
20,2.44040404040404,0.0012165531514104918,0.1855551112652654,-0.037147783282760256,-2.128411200368797,0.0004715957181228308
21,2.562424242424242,0.001188376496071484,0.20411748602599508,-0.03908121875256737,-2.239188892749638,0.00046140741342168344
22,2.684444444444444,0.0011606383019764157,0.22351184552867992,-0.0410229820166277,-2.350443732593842,0.0004513661337814785
23,2.806464646464646,0.0011333351308221331,0.24373033457931004,-0.04297198818869392,-2.4621135604981843,0.0004414708172915909
24,2.928484848484848,0.0011064635443054857,0.26476386511851036,-0.04493241757068303,-2.574437890119601,0.00043172040204139553
25,3.05050505050505,0.0010800201041233192,0.28660633365458177,-0.04687908919713154,-2.6859739584129683,0.00042211382612026676
26,3.172525252525252,0.0010540013719724827,0.3092567496631164,-0.04881152775174828,-2.7966945317608687,0.00041265002761757975
27,3.294545454545454,0.0010284039095498224,0.33271003649133357,-0.05075452747029631,-2.908020215228777,0.00040332794462270903
28,3.416565656565656,0.001003224278552187,0.3569580353729795,-0.05270399163707996,-3.019716284297468,0.0003941465152250296
29,3.538585858585858,0.0009784590406764233,0.3819934120100622,-0.0546609953254209,-3.1318443361309396,0.00038510467751391616
30,3.66060606060606,0.0009541047576193786,0.407808332113875,-0.05662518905335336,-3.244384346887537,0.00037620136957874315
31,3.782626262626262,0.0009301579910779014,0.4343949340701283,-0.05859655999949791,-3.3573355819563315,0.000367435529508886
32,3.904646464646464,0.0009066153027488382,0.4617451629248434,-0.06057495766688702,-3.4706894184962542,0.000358806095393719
33,4.026666666666666,0.0008834732543290365,0.48985082771709715,-0.06256021935686494,-3.5844365345609983,0.00035031200532261705
34,4.148686868686868,0.0008607284075153451,0.518703579361595,-0.06455214212821116,-3.698565302475139,0.000341952197384955
35,4.27070707070707,0.0008383773240046106,0.548294909765394,-0.06655049815418308,-3.813062668727866,0.0003337256096701076
36,4.392727272727272,0.00081641656549368,0.5786161573995695,-0.06855503925708141,-3.9279144137844395,0.00032563118026744946
37,4.514747474747474,0.0007948426936794018,0.6096584985275714,-0.07056550542114225,-4.0431056398389815,0.00031766784726635554
38,4.636767676767676,0.0007736522702586229,0.6414129499488724,-0.07258163439990983,-4.158621321276385,0.00030983454875620057
39,4.758787878787878,0.0007528418569281915,0.6738703635878659,-0.07460316438791491,-4.2744464577482075,0.0003021302228263594
40,4.88080808080808,0.000732408015384954,0.7070214276776519,-0.07662984062919233,-4.390566452812841,0.00029455380756620664
41,5.002828282828282,0.0007123473073257594,0.7408566637724395,-0.07866141459639629,-4.506967066902278,0.0002871042410651173
42,5.124848484848484,0.0006926562944474537,0.7753664243070155,-0.08069764139378789,-4.623634268524256,0.00027978046141246583
43,5.2468686868686865,0.0006733315384468855,0.8105408904399263,-0.0827382709743659,-4.740553731040928,0.0002725814066976274
44,5.368888888888888,0.0006543696010209019,0.8463700718280497,-0.08478304300368862,-4.85771053838752,0.00026550601500997654
45,5.49090909090909,0.0006357670438663503,0.8828438023329267,-0.08683167260561826,-4.975088368363655,0.00025855322443888796
46,5.612929292929292,0.000617520428680079,0.9199517417791524,-0.08888383848652236,-5.0926688122002055,0.0002517219730737368
