alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-1.500,0.0908,0.01440,0.00736,-0.0627,0.6022,0.0651,-1.7004,0.0000,0.0000,0.0000,0.9449
-1.400,0.1068,0.01412,0.00696,-0.0614,0.5859,0.0679,-1.6260,0.0000,0.0000,0.0000,0.8289
-1.300,0.1223,0.01390,0.00659,-0.0601,0.5688,0.0707,-1.5518,0.0000,0.0000,0.0000,0.7443
-1.200,0.1378,0.01366,0.00623,-0.0589,0.5518,0.0736,-1.4844,0.0000,0.0000,0.0000,0.6794
-1.100,0.1525,0.01351,0.00600,-0.0577,0.5349,0.0781,-1.4179,0.0000,0.0000,0.0000,0.6296
-1.000,0.1683,0.01340,0.00581,-0.0566,0.5169,0.0835,-1.3547,0.0000,0.0000,0.0000,0.5869
-0.900,0.1835,0.01330,0.00560,-0.0554,0.5006,0.0877,-1.2983,0.0000,0.0000,0.0000,0.5522
-0.800,0.1979,0.01315,0.00539,-0.0542,0.4841,0.0924,-1.2389,0.0000,0.0000,0.0000,0.5239
-0.700,0.2134,0.01308,0.00525,-0.0532,0.4688,0.0979,-1.1777,0.0000,0.0000,0.0000,0.4989
-0.600,0.2286,0.01304,0.00511,-0.0521,0.4538,0.1035,-1.1187,0.0000,0.0000,0.0000,0.4773
-0.500,0.2438,0.01294,0.00499,-0.0511,0.4405,0.1109,-1.0569,0.0000,0.0000,0.0000,0.4589
-0.300,0.2747,0.01286,0.00484,-0.0493,0.4168,0.1313,-1.0395,0.0000,0.0000,0.0000,0.4283
-0.200,0.2906,0.01279,0.00476,-0.0485,0.4061,0.1441,-1.0590,0.0000,0.0000,0.0000,0.4155
-0.100,0.3058,0.01276,0.00470,-0.0476,0.3970,0.1608,-1.0783,0.0000,0.0000,0.0000,0.4042
0.000,0.3210,0.01260,0.00462,-0.0469,0.3890,0.1951,-1.0974,0.0000,0.0000,0.0000,0.3944
