alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
3.000,0.8740,0.00909,0.00533,-0.0344,0.2969,0.9567,-1.8815,0.0000,0.0000,0.0000,0.2838
3.100,0.8966,0.00925,0.00551,-0.0341,0.2931,0.9685,-1.9241,0.0000,0.0000,0.0000,0.2823
3.200,0.9210,0.00943,0.00571,-0.0340,0.2890,0.9784,-1.9700,0.0000,0.0000,0.0000,0.2811
3.300,0.9498,0.00957,0.00588,-0.0346,0.2846,0.9838,-2.0220,0.0000,0.0000,0.0000,0.2805
3.400,0.9767,0.00972,0.00607,-0.0348,0.2800,0.9884,-2.0762,0.0000,0.0000,0.0000,0.2796
3.500,1.0013,0.00988,0.00624,-0.0346,0.2746,0.9927,-2.1293,0.0000,0.0000,0.0000,0.2784
3.600,1.0289,0.01008,0.00644,-0.0349,0.2688,0.9949,-2.1903,0.0000,0.0000,0.0000,0.2777
3.700,1.0561,0.01028,0.00667,-0.0351,0.2635,0.9974,-2.2541,0.0000,0.0000,0.0000,0.2769
3.800,1.0838,0.01046,0.00688,-0.0352,0.2567,1.0000,-2.3246,0.0000,0.0000,0.0000,0.2760
3.900,1.0924,0.01056,0.00700,-0.0323,0.2522,1.0000,-2.3671,0.0000,0.0000,0.0000,0.2729
4.000,1.1016,0.01069,0.00714,-0.0295,0.2467,1.0000,-2.4120,0.0000,0.0000,0.0000,0.2700
4.100,1.1125,0.01086,0.00732,-0.0269,0.2409,1.0000,-2.4660,0.0000,0.0000,0.0000,0.2673
4.200,1.1268,0.01102,0.00751,-0.0248,0.2351,1.0000,-2.5278,0.0000,0.0000,0.0000,0.2650
4.300,1.1411,0.01121,0.00772,-0.0227,0.2270,1.0000,-2.5919,0.0000,0.0000,0.0000,0.2627
4.400,1.1541,0.01146,0.00798,-0.0205,0.2191,1.0000,-2.6606,0.0000,0.0000,0.0000,0.2604
4.500,1.1699,0.01169,0.00824,-0.0185,0.2106,1.0000,-2.7399,0.0000,0.0000,0.0000,0.2583
4.600,1.1836,0.01200,0.00857,-0.0164,0.2002,1.0000,-2.8178,0.0000,0.0000,0.0000,0.2562
4.700,1.1971,0.01234,0.00894,-0.0142,0.1878,1.0000,-2.8980,0.0000,0.0000,0.0000,0.2541
4.800,1.2090,0.01277,0.00940,-0.0120,0.1754,1.0000,-2.9770,0.0000,0.0000,0.0000,0.2520
4.900,1.2206,0.01324,0.00990,-0.0098,0.1620,1.0000,-3.0575,0.0000,0.0000,0.0000,0.2499
5.000,1.2306,0.01379,0.01049,-0.0075,0.1497,1.0000,-3.1348,0.0000,0.0000,0.0000,0.2478
5.100,1.2388,0.01443,0.01118,-0.0051,0.1392,1.0000,-3.2076,0.0000,0.0000,0.0000,0.2457
5.200,1.2475,0.01510,0.01191,-0.0028,0.1310,1.0000,-3.2798,0.0000,0.0000,0.0000,0.2437
5.300,1.2552,0.01585,0.01273,-0.0005,0.1251,1.0000,-3.3471,0.0000,0.0000,0.0000,0.2416
5.400,1.2609,0.01671,0.01367,0.0017,0.1213,1.0000,-3.4064,0.0000,0.0000,0.0000,0.2397
5.500,1.2656,0.01767,0.01471,0.0039,0.1189,1.0000,-3.4589,0.0000,0.0000,0.0000,0.2378
5.600,1.2694,0.01871,0.01583,0.0059,0.1172,1.0000,-3.5048,0.0000,0.0000,0.0000,0.2360
