x,y
0.6350433356758024, 14.968314203170138
0.6502693839306629, 14.649738424299208
0.6512063715155773, 14.301928632778946
0.6953228703053019, 13.925884282033259
0.6962598578902163, 13.578074490512996
0.7262434606074805, 13.114827828531268
0.7564613102209728, 12.564628718669475
0.7719996876708052, 12.130116342625124
0.8019052080893262, 11.69585382993675
0.8174435855391583, 11.261341453892399
0.8761614741938001, 10.798594518622625
0.9636917310845631, 10.30736316077145
1.09260560630905, 10.454532677442021
1.1219645506363705, 10.223159209807132
1.1659248848286095, 9.905083157648157
1.1809947684859838, 9.644475677363939
1.2249551026782228, 9.326399625204964
1.2974935582103537, 9.066791598344652
1.399000546576091, 8.72073085031623
1.5002732880456002, 8.461622550167874
1.6441789646287188, 8.377168735847581
1.7876161474193801, 8.466619817287418
1.8456312953853358, 8.264730225657843
1.93238072928867, 8.063340360740218
2.047708284531897, 7.920418521121258
2.162879675177637, 7.835464980089013
2.292262044194581, 7.808729600999449
2.364019676739283, 7.838963067072694
2.4504567814476457, 7.753509799328489
2.565706254392129, 7.639572109002886
2.6807995627391272, 7.583602717263993
2.8246271570235026, 7.528133052237054
2.9682985867103926, 7.530631685796827
3.040056219255095, 7.5608651518700665
3.1984071211056455, 7.447677051612397
3.3709690013273987, 7.39270711329741
3.485906145076911, 7.394706020145229
3.715780432575935, 7.398703833840864
3.874053252127742, 7.314499882876548
4.046537050050754, 7.2885140938549196
4.218864683376278, 7.320496603420002
4.348090887795737, 7.35172952291715
4.520574685718747, 7.325743733895523
4.621222768798313, 7.298508628094007
4.779339423752636, 7.272272975716401
4.9516670570781605, 7.304255485281484
0.8912313578511751, 10.537987038338407
