alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-2.000,0.0112,0.01442,0.00744,-0.0794,0.6271,0.1137,-1.7658,0.0000,0.0000,0.0000,7.4776
-1.500,0.0910,0.01357,0.00629,-0.0734,0.5790,0.1451,-1.4510,0.0000,0.0000,0.0000,1.0664
-1.000,0.1712,0.01313,0.00569,-0.0682,0.5388,0.1943,-1.1600,0.0000,0.0000,0.0000,0.6508
-0.500,0.2499,0.01269,0.00535,-0.0636,0.5069,0.2794,-0.9985,0.0000,0.0000,0.0000,0.5043
0.000,0.3163,0.01184,0.00544,-0.0573,0.4804,0.5697,-1.0742,0.0000,0.0000,0.0000,0.4295
0.500,0.3918,0.01183,0.00595,-0.0509,0.4586,0.7320,-1.1591,0.0000,0.0000,0.0000,0.3773
1.000,0.4694,0.01225,0.00666,-0.0444,0.4385,0.8424,-1.2553,0.0000,0.0000,0.0000,0.3412
1.500,0.5654,0.01312,0.00761,-0.0411,0.4195,0.9262,-1.3729,0.0000,0.0000,0.0000,0.3188
2.000,0.7077,0.01442,0.00896,-0.0471,0.3978,0.9743,-1.5426,0.0000,0.0000,0.0000,0.3122
2.500,0.8601,0.01601,0.01074,-0.0555,0.3738,1.0000,-1.7450,0.0000,0.0000,0.0000,0.3098
3.000,0.8912,0.01710,0.01195,-0.0433,0.3577,1.0000,-1.8440,0.0000,0.0000,0.0000,0.2933
3.500,0.9274,0.01830,0.01320,-0.0312,0.3403,1.0000,-1.9691,0.0000,0.0000,0.0000,0.2777
4.000,0.9502,0.02004,0.01518,-0.0183,0.3199,1.0000,-2.0924,0.0000,0.0000,0.0000,0.2626
4.500,0.9710,0.02273,0.01813,-0.0076,0.2970,1.0000,-2.2341,0.0000,0.0000,0.0000,0.2505
5.000,0.9913,0.02640,0.02204,0.0002,0.2705,1.0000,-2.4037,0.0000,0.0000,0.0000,0.2416
5.500,1.0037,0.03151,0.02736,0.0052,0.2406,1.0000,-2.5772,0.0000,0.0000,0.0000,0.2358
6.000,0.9798,0.03997,0.03601,0.0054,0.2111,1.0000,-2.6339,0.0000,0.0000,0.0000,0.2347
6.500,0.9504,0.04939,0.04555,0.0038,0.1855,1.0000,-2.6604,0.0000,0.0000,0.0000,0.2355


